simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
的,的,de,ㄉㄜ˙,"of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sentence for emphasis); (used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] 'one made of leather' or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] 'a waiter (literally, one who runs back and forth in a restaurant)' or 新的[xin1 de5] 'new one'); also pr. [di4] or [di5] in poetry and songs; a taxi; a cab (abbr. for 的士[di1 shi4]); really and truly; (bound form) bull's-eye; target",1,助,943370349,1,1,1682530.0,50155.13,6.226,6243.0,100.0,3.7954,1.0,True
了,瞭,le,ㄌㄜ˙,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish; (used with 得[de2] or 不[bu4] after a verb to express (im)possibility, as in 忘不了[wang4 bu5 liao3] 'cannot forget'); (literary) (usually followed by a negative such as 無|无[wu2] or 不[bu4]) completely (not); entirely (not); (not) in the least; to understand clearly (variant of 瞭|了[liao3]); (of eyes) bright; clear-sighted; to understand clearly; unofficial variant of 瞭[liao4]",1,助,255733044,2,1,946365.0,28210.53,5.9761,6243.0,100.0,3.7954,5.0,True
在,在,zài,ㄗㄞˋ,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),1,动、介、副,197672850,3,1,429766.0,12811.05,5.6332,6242.0,99.98,3.7953,7.0,True
是,昰,shì,ㄕˋ,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion); variant of 是[shi4],1,动,171296602,4,1,947807.0,28253.52,5.9767,6243.0,100.0,3.7954,4.0,True
我,我,wǒ,ㄨㄛˇ,I; me; my,1,代,169391220,5,1,1682285.0,50147.83,6.2259,6242.0,99.98,3.7953,2.0,True
和,龢,hé,ㄏㄜˊ,"old variant of 和[he2]; (joining two nouns) and; together with; with (Taiwan pr. [han4]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese; (literary) harmonious (variant of 和[he2]); surname He; to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; to complete a set in mahjong or playing cards; to combine a powdery substance (flour, plaster etc) with water; Taiwan pr. [huo4]; to mix (ingredients) together; to blend; classifier for rinses of clothes; classifier for boilings of medicinal herbs",1,介、连,118878434,6,1,150418.0,4483.86,5.1773,6214.0,99.54,3.7934,33.0,True
有,有,yǒu,ㄧㄡˇ,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional),1,动,94271573,7,1,289109.0,8618.15,5.4611,6242.0,99.98,3.7953,11.0,True
你,妳,nǐ,ㄋㄧˇ,"you (informal, as opposed to courteous 您[nin2]); you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)",1,代,88487705,8,1,1329424.0,39629.27,6.1237,6242.0,99.98,3.7953,3.0,True
个,箇,gè,ㄍㄜˋ,used in 自個兒|自个儿[zi4 ge3 r5]; (classifier used before a noun that has no specific classifier); (bound form) individual; variant of 個|个[ge4],1,量,87859759,9,1,173905.0,5184.0,5.2403,6239.0,99.94,3.7951,29.0,True
也,也,yě,ㄧㄝˇ,surname Ye; also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X); (literary) particle having functions similar to 啊[a5],1,副,77259249,10,1,131801.0,3928.9,5.1199,6236.0,99.89,3.7949,37.0,True
这,這,zhè,ㄓㄜˋ,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing); (coll.) this",1,代,73252887,11,1,286987.0,8554.9,5.4579,6241.0,99.97,3.7953,12.0,True
不,不,bù,ㄅㄨˋ,no; not so; (bound form) not; un-,1,副,70153387,12,1,689161.0,20543.44,5.8383,6242.0,99.98,3.7953,6.0,True
他,他,tā,ㄊㄚ,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])",1,代,67051085,13,1,397653.0,11853.78,5.5995,6237.0,99.9,3.795,8.0,True
上,上,shàng,ㄕㄤˋ,used in 上聲|上声[shang3 sheng1]; (bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above,1,名、动,66509925,14,1,114371.0,3409.33,5.0583,6238.0,99.92,3.795,45.0,True
人,人,rén,ㄖㄣˊ,"person; people; CL:個|个[ge4],位[wei4]",1,名,65506298,15,1,194914.0,5810.26,5.2898,6239.0,99.94,3.7951,24.0,True
年,秊,nián,ㄋㄧㄢˊ,surname Nian; year; CL:個|个[ge4]; grain; harvest (old); variant of 年[nian2],1,名、量,59830333,18,1,30648.0,913.6,4.4864,5578.0,89.35,3.7465,141.0,True
对,對,duì,ㄉㄨㄟˋ,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,1（4）,形、介、（动、量）,56546971,20,1,132805.0,3958.83,5.1232,6229.0,99.78,3.7944,36.0,True
说,説,shuō,ㄕㄨㄛ,to persuade; to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine; variant of 說|说[shuo1],1,动,52966771,21,1,226955.0,6765.38,5.3559,6242.0,99.98,3.7953,18.0,True
都,都,dōu,ㄉㄡ,surname Du; all; both; entirely; (used for emphasis) even; already; (not) at all; capital city; metropolis,1,副,52527496,22,1,177619.0,5294.71,5.2495,6237.0,99.9,3.795,28.0,True
要,要,yào,ㄧㄠˋ,(bound form) to demand; to coerce; to want; to need; to ask for; will; shall; about to; need to; should; if (same as 要是[yao4 shi5]); (bound form) important,1,动,50753034,23,1,238656.0,7114.18,5.3778,6242.0,99.98,3.7953,16.0,True
到,到,dào,ㄉㄠˋ,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,1,动,50645570,24,1,139534.0,4159.42,5.1447,6238.0,99.92,3.795,35.0,True
日,日,rì,ㄖˋ,"abbr. for 日本[Ri4 ben3], Japan; sun; day; date, day of the month",1（4）,量、（名）,42260866,28,1,4114.0,122.64,3.6143,1859.0,29.78,3.2693,744.0,True
我们,我們,wǒmen,ㄨㄛˇ ㄇㄣ˙,we; us; ourselves; our,1,代,41787606,29,1,371696.0,11080.02,5.5702,6241.0,99.97,3.7953,9.0,True
好,好,hǎo,ㄏㄠˇ,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to,1（2）（4）,形、（副）、（动）,41528330,30,1,334698.0,9977.13,5.5247,6241.0,99.97,3.7953,10.0,True
月,月,yuè,ㄩㄝˋ,"moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]",1,名,40981378,31,1,12253.0,365.25,4.0882,4113.0,65.88,3.6142,291.0,True
会,會,huì,ㄏㄨㄟˋ,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [hui3]); (bound form) to reckon accounts,1,动,40026863,32,1,265929.0,7927.17,5.4248,6242.0,99.98,3.7953,14.0,True
