simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
阿拉伯语,阿拉伯語,Ā lā bó yǔ,Arabic (language),27202,7,nz,阝
阿姨,阿姨,ā yí,childcare worker ; maternal aunt ; nursemaid ; step-mother ; woman of similar age to one's parents (term of address used by child),4355,4,n,阝
呵护,呵護,hē hù,to bless ; to cherish ; to conserve ; to take good care of,13381,7,"v,vn",口
啊,啊,a | à | á | ā | ǎ,"Ah! ; Ah, OK ; Eh? ; My! ; Oh! ; Oh, it's you! ; expression of recognition ; interjection expressing doubt or requiring answer ; interjection of surprise ; interjection of surprise or doubt ; interjection or grunt of agreement ; modal particle ending sentence, showing affirmation, approval, or consent ; uhm ; what's up? ; what?",47,2,"y,e",口
哎,哎,āi,(interjection used to attract attention or to express surprise or disapprobation) ; hey!,2092,7,e,口
哎呀,哎呀,āi yā,"interjection of wonder, shock or admiration",4772,7,e,口
哀求,哀求,āi qiú,to entreat ; to implore ; to plead,19304,7,"v,vn",口
唉,唉,ài | āi,"alas ; interjection or grunt of agreement or recognition (e.g. yes, it's me!) ; oh dear ; to sigh",2512,7,e,口
挨,挨,ái | āi,close to; adjacent to ; in order; in sequence ; to delay; to stall; to play for time; to dawdle ; to pull through (hard times) ; to suffer; to endure,5720,6,v,扌
挨打,挨打,ái dǎ,to come under attack ; to get thrashed ; to take a beating,15204,6,v,扌
挨家挨户,挨家挨戶,āi jiā āi hù,to go from house to house,26236,7,l,扌
挨着,挨著,āi zhe,near,11185,6,v,扌
癌,癌,ái,also pr. [yán] ; cancer ; carcinoma,6175,7,n,疒
癌症,癌症,ái zhèng,cancer,4759,7,n,疒
矮,矮,ǎi,low ; short (in length),3952,4,"a,v",矢
矮小,矮小,ǎi xiǎo,low and small ; short and small ; undersized,21508,4,a,矢
艾滋病,艾滋病,ài zī bìng,AIDS (loanword),6270,7,n,艹
爱,愛,ài,affection ; to be inclined (to do sth); to tend to (happen) ; to love; to be fond of; to like,130,1,"v,vn,b",爫
爱不释手,愛不釋手,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,26355,7,v,爫
爱国,愛國,ài guó,patriotic ; to love one's country,7528,4,a,爫
爱好,愛好,ài hào,interest; hobby ; to like; to be fond of; to take pleasure in; to be keen on,4902,1,"n,v",爫
爱护,愛護,ài hù,to cherish ; to love and protect ; to take care of ; to treasure,10522,4,"v,vn",爫
爱理不理,愛理不理,ài lǐ bù lǐ,(idiom) standoffish; indifferent,69479,7,v,爫
爱面子,愛面子,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud,44438,7,a,爫
爱情,愛情,ài qíng,romance; love (romantic),1164,2,n,爫
爱人,愛人,ài ren,lover (non-PRC) ; spouse (PRC),4365,2,n,爫
爱惜,愛惜,ài xī,to cherish ; to treasure ; to use sparingly,20535,7,v,爫
爱心,愛心,ài xīn,"care for others ; charity (bazaar, golf day etc) ; compassion ; heart (the symbol ♥) ; kindness ; love",5809,3,n,爫
碍事,礙事,ài shì,(usu. in the negative) to be of consequence; to matter ; to be in the way; to be a hindrance,34045,7,a,石
安,安,Ān | ān,(bound form) calm; peaceful ; ampere (abbr. for 培) ; content; satisfied (as in 安于) ; safe; secure; in good health ; surname An ; to bring (a charge against sb) ; to calm; to set at ease ; to harbor (certain intentions) ; to install; to fix; to fit ; to place (sb) in a suitable position (job),1506,4,"v,g,nr,b,r",宀
安定,安定,Ān dìng | ān dìng,"Anting township in Tainan county 台南县, Taiwan ; Valium; diazepam ; stable; calm; settled ; to stabilize",7377,7,"a,an,v",宀
安抚,安撫,ān fǔ,to appease ; to pacify ; to placate,12099,7,"v,vn",宀
安检,安檢,ān jiǎn,security check (abbr. for 安全检查) ; to do a security check,13665,6,n,宀
安静,安靜,ān jìng,calm ; peaceful ; quiet,2501,2,a,宀
安眠药,安眠藥,ān mián yào,sleeping pill,16000,7,n,宀
安宁,安寧,Ān níng | ān níng,"Anning City, to the west of Kunming 明, Yunnan ; Anning District of Lanzhou City 兰州市, Gansu ; calm ; composed ; free from worry ; peaceful ; tranquil",9417,7,"an,a",宀
安排,安排,ān pái,arrangements ; plans ; to arrange ; to plan ; to set up,900,3,"v,vn",宀
安全,安全,ān quán,safe; secure ; safety; security,364,2,"an,a,ad,n",宀
安慰,安慰,ān wèi,to comfort ; to console,3563,5,"v,vn,an,a",宀
安稳,安穩,ān wěn,steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth,12368,7,"a,ad",宀
安心,安心,ān xīn,at ease ; to feel relieved ; to keep one's mind on sth ; to set one's mind at rest,5992,7,"a,ad",宀
安逸,安逸,ān yì,easy ; easy and comfortable,14622,7,"a,an",宀
安置,安置,ān zhì,placement ; to arrange for ; to find a place for ; to get into bed ; to help settle down,5845,4,"v,vn",宀
安装,安裝,ān zhuāng,installation ; to erect ; to fix ; to install ; to mount,3653,3,"v,vn",宀
岸,㟁 | 岸,àn,bank; shore; beach; coast ; variant of 岸,6867,5,"n,g",山
岸上,岸上,àn shàng,ashore ; on the riverbank,18516,5,s,山
按,按,àn,(of an editor or author) to make a comment ; according to ; in the light of ; to check or refer to ; to control ; to keep one's hand on ; to leave aside or shelve ; to press ; to push ; to restrain,678,3,"p,v",扌
按键,按鍵,àn jiàn,button or key (on a device) ; keystroke ; to press a button,13672,7,n,扌
按理说,按理說,àn lǐ shuō,it is reasonable to say that...,25769,7,v,扌
按摩,按摩,àn mó,massage ; to massage,3990,5,"vn,v",扌
按时,按時,àn shí,before deadline ; on schedule ; on time,7233,4,d,扌
按说,按說,àn shuō,in the ordinary course of events; ordinarily; normally,32917,7,d,扌
按照,按照,àn zhào,according to ; in accordance with ; in the light of ; on the basis of,1378,3,"p,v",扌
案件,案件,àn jiàn,case ; instance,1617,7,n,木
暗,晻 | 暗 | 闇,àn,(literary) confused; ignorant ; (literary) to close (a door) ; confused; ignorant (variant of 暗) ; dark ; dark (variant of 暗) ; secret; hidden ; to eclipse ; to turn dark ; variant of 暗,2594,4,"a,ad",日
暗地里,暗地裡,àn dì li,secretly; inwardly; on the sly,20436,7,d,日
暗杀,暗殺,àn shā,to assassinate,9964,7,"v,vn",日
暗示,暗示,àn shì,hint; suggestion ; to hint; to suggest,4917,4,"v,vn",日
暗中,暗中,àn zhōng,in secret ; in the dark ; on the sly ; surreptitiously,9222,7,"d,s",日
昂贵,昂貴,áng guì,costly ; expensive,7743,7,a,日
凹,凹,wā | āo,(used in names) ; concave ; depressed ; female (connector etc) ; indented ; sunken ; variant of 洼,10239,7,a,凵
熬,熬,áo | āo,to boil ; to cook on a slow fire ; to decoct ; to endure ; to extract by heating ; to simmer,4418,7,v,灬
熬夜,熬夜,áo yè,to stay up late or all night,9364,7,v,灬
傲,傲,ào,arrogant ; proud ; to defy ; to despise ; unyielding,7205,7,"g,a,ad",亻
傲慢,傲慢,ào màn,arrogant ; haughty,11766,7,"a,an",亻
奥秘,奧祕,ào mì,mystery ; secret,18113,7,n,大
奥运会,奧運會,Aò yùn huì,Olympic Games ; abbr. for 奥林匹克运动会 ; the Olympics,5746,7,n,大
八,八,bā,eight; 8,1362,1,"m,t",八
八卦,八卦,bā guà,gossip ; gossipy ; the eight divinatory trigrams of the Book of Changes 易经,6491,7,n,八
扒,扒,bā | pá,to braise ; to cling to (sth on which one is climbing) ; to crawl ; to dig ; to peel ; to pull down ; to rake up ; to skin ; to steal ; to tear,8554,7,v,扌
