simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical,simplified_normalized,subtlex_word,subtlex_length,subtlex_pinyin,subtlex_pinyin_input,subtlex_w_count,subtlex_w_million,subtlex_log10w,subtlex_w_cd,subtlex_w_cd_percent,subtlex_log10cd,subtlex_dominant_pos,subtlex_dominant_pos_freq,subtlex_all_pos,subtlex_all_pos_freq,subtlex_eng_tran,subtlex_word_normalized
阿拉伯语,阿拉伯語,Ā lā bó yǔ,Arabic (language),27202,7,nz,阝,阿拉伯语,阿拉伯语,4.0,A1 la1 bo2 yu3,alaboyu,52.0,1.55,1.716,34.0,0.54,1.5315,nz,52.0,.nz.,.52.,Arabic (language),阿拉伯语
阿姨,阿姨,ā yí,childcare worker ; maternal aunt ; nursemaid ; step-mother ; woman of similar age to one's parents (term of address used by child),4355,4,n,阝,阿姨,阿姨,2.0,a1 yi2,ayi,792.0,23.61,2.8987,392.0,6.28,2.5933,n,792.0,.n.,.792.,maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child),阿姨
呵护,呵護,hē hù,to bless ; to cherish ; to conserve ; to take good care of,13381,7,"v,vn",口,呵护,呵护,2.0,he1 hu4,hehu,50.0,1.49,1.699,42.0,0.67,1.6232,v,43.0,.v.vn.,.43.7.,to bless/to cherish/to take good care of/to conserve,呵护
啊,啊,a | à | á | ā | ǎ,"Ah! ; Ah, OK ; Eh? ; My! ; Oh! ; Oh, it's you! ; expression of recognition ; interjection expressing doubt or requiring answer ; interjection of surprise ; interjection of surprise or doubt ; interjection or grunt of agreement ; modal particle ending sentence, showing affirmation, approval, or consent ; uhm ; what's up? ; what?",47,2,"y,e",口,啊,啊,1.0,a1/a2/a3/a4/a5,a,130963.0,3903.92,5.1171,6126.0,98.13,3.7872,y,128570.0,.y.e.,.128570.2393.,"interjection of surprise/Ah!/Oh!; interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress; interjection of surprise or doubt/Eh?/My!/what's up?; interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent",啊
哎,哎,āi,(interjection used to attract attention or to express surprise or disapprobation) ; hey!,2092,7,e,口,哎,哎,1.0,ai1/ai3/ai4,ai,1003.0,29.9,3.0013,507.0,8.12,2.705,e,1003.0,.e.,.1003.,interjection of surprise or disapprobation hey!/why?/look out!/How dare you!,哎
哎呀,哎呀,āi yā,"interjection of wonder, shock or admiration",4772,7,e,口,哎呀,哎呀,2.0,ai1 ya1,aiya,476.0,14.19,2.6776,354.0,5.67,2.549,e,476.0,.e.,.476.,"interjection of wonder, shock or admiration",哎呀
哀求,哀求,āi qiú,to entreat ; to implore ; to plead,19304,7,"v,vn",口,哀求,哀求,2.0,ai1 qiu2,aiqiu,51.0,1.52,1.7076,44.0,0.7,1.6435,v,48.0,.v.vn.,.48.3.,to entreat/to implore/to plead,哀求
唉,唉,ài | āi,"alas ; interjection or grunt of agreement or recognition (e.g. yes, it's me!) ; oh dear ; to sigh",2512,7,e,口,唉,唉,1.0,ai1/ai4,ai,832.0,24.8,2.9201,475.0,7.61,2.6767,e,832.0,.e.,.832.,"interjection or grunt of agreement or recognition (e.g. yes, it's me!)/to sigh; alas/oh dear",唉
挨,挨,ái | āi,close to; adjacent to ; in order; in sequence ; to delay; to stall; to play for time; to dawdle ; to pull through (hard times) ; to suffer; to endure,5720,6,v,扌,挨,挨,1.0,ai1/ai2,ai,365.0,10.88,2.5623,309.0,4.95,2.49,v,365.0,.v.,.365.,in order/in sequence/close to/adjacent to; to suffer/to endure/to pull through (hard times)/to delay/to stall/to play for time,挨
挨打,挨打,ái dǎ,to come under attack ; to get thrashed ; to take a beating,15204,6,v,扌,挨打,挨打,2.0,ai2 da3,aida,120.0,3.58,2.0792,93.0,1.49,1.9685,v,120.0,.v.,.120.,to take a beating/to get thrashed/to come under attack,挨打
挨家挨户,挨家挨戶,āi jiā āi hù,to go from house to house,26236,7,l,扌,挨家挨户,挨家挨户,4.0,ai1 jia1 ai1 hu4,aijiaaihu,44.0,1.31,1.6435,40.0,0.64,1.6021,l,44.0,.l.,.44.,to go from house to house/house-to-house (search),挨家挨户
挨着,挨著,āi zhe,near,11185,6,v,扌,挨着,挨着,2.0,ai1/ai2 zhao1/zhao2/zhe5/zhuo2,aizhuo,104.0,3.1,2.017,98.0,1.57,1.9912,v,104.0,.v.,.104.,#,挨着
癌,癌,ái,also pr. [yán] ; cancer ; carcinoma,6175,7,n,疒,癌,癌,1.0,ai2,ai,195.0,5.81,2.29,112.0,1.79,2.0492,n,195.0,.n.,.195.,cancer/carcinoma,癌
癌症,癌症,ái zhèng,cancer,4759,7,n,疒,癌症,癌症,2.0,ai2 zheng4,aizheng,1050.0,31.3,3.0212,473.0,7.58,2.6749,n,1050.0,.n.,.1050.,cancer,癌症
矮,矮,ǎi,low ; short (in length),3952,4,"a,v",矢,矮,矮,1.0,ai3,ai,629.0,18.75,2.7987,352.0,5.64,2.5465,a,627.0,.a.v.,.627.2.,low/short (in length),矮
矮小,矮小,ǎi xiǎo,low and small ; short and small ; undersized,21508,4,a,矢,矮小,矮小,2.0,ai3 xiao3,aixiao,46.0,1.37,1.6628,44.0,0.7,1.6435,a,46.0,.a.,.46.,short and small/low and small/undersized,矮小
