simplified,pinyin,meaning,hsk_level,pos,radical,Difficulty_Human_PCA
一些,yī xiē,(following an adjective) slightly ...er ; a few ; a little ; some,1.0,mq,一,-1.0485733273091524
一共,yī gòng,altogether,2.0,d,一,5.346111237136957
一再,yī zài,repeatedly,4.0,d,一,1.1877695847903411
一切,yī qiè,all ; every ; everything,3.0,r,一,-1.1721097826494666
一半,yī bàn,half,1.0,m,一,-0.29792210777808686
一同,yī tóng,together,6.0,d,一,2.7812450055936075
一向,yī xiàng,a period of time in the recent past ; always (previously),5.0,d,一,-0.30325980869812547
一味,yī wèi,blindly ; invariably,7.0,d,一,4.605247690223658
一定,yī dìng,a certain (extent etc) ; certainly ; fixed ; given ; must ; necessarily ; particular ; surely,2.0,"d,b",一,-0.8630556733810185
一带,yī dài,district ; region,5.0,n,一,3.3652322205887306
一度,yī dù,at one time ; for a time ; once ; one time,7.0,d,一,0.49140668925087905
一律,yī lǜ,all ; same ; uniformly ; without exception,4.0,d,一,0.18624642201751265
一心,yī xīn,heart and soul ; wholeheartedly,7.0,"d,nr",一,1.2710780014893963
一手,yī shǒu,a skill ; by oneself ; mastery of a trade ; without outside help,7.0,"d,n",一,1.040254983654602
一旁,yī páng,aside ; to the side of,7.0,"f,s",一,3.0167194068584746
一旦,yī dàn,"if ; in a short time ; in case (sth happens) ; in one day ; once (sth happens, then...) ; when",5.0,"d,c",一,1.5156891362354397
一早,yī zǎo,at dawn ; early in the morning,7.0,t,一,0.12076194487656464
一时,yī shí,a period of time ; a while ; at the same time ; for a short while ; momentary ; temporary,6.0,"t,m",一,0.9217958535796907
一概,yī gài,all ; categorically ; without any exceptions,7.0,d,一,0.28245522640550613
一样,yī yàng,equal to ; just like ; like ; same ; the same as,1.0,"u,a,ad",一,-1.146604761279599
一流,yī liú,front ranking ; top quality,5.0,b,一,-0.9748870170471712
一生,yī shēng,all one's life; throughout one's life,2.0,n,一,-0.9626375684948222
一直,yī zhí,continuously; always; all the way through ; straight (in a straight line),2.0,d,一,-1.6388331435844568
一经,yī jīng,as soon as ; once (an action has been completed),7.0,d,一,13.271149780777872
一致,yī zhì,identical (views or opinions) ; unanimous,4.0,"a,an,ad,nz",一,-0.9535244205825624
一般,yī bān,common ; general ; generally ; in general ; ordinary ; same ; so-so,2.0,"a,ad,u",一,-0.5417521155602227
一贯,yī guàn,all along ; consistent ; constant ; from start to finish ; persistent,6.0,"d,b",一,0.9701073302991235
一起,yī qǐ,altogether (in total) ; in the same place ; together ; with,1.0,"s,d,nr",一,-1.0375073619871231
一路,yī lù,all the way ; going in the same direction ; going the same way ; of the same kind ; the whole journey,5.0,"mq,d",一,0.40183746405610277
一道,yī dào,together,6.0,d,一,6.314045940461745
一边,yī biān,doing while ; either side ; on the one hand ; on the other hand ; one side,1.0,"d,f",一,-0.7173637018277309
一阵,yī zhèn,a burst ; a fit ; a peal ; a spell (period of time),7.0,mq,一,-0.7250447836394927
一面,yī miàn,one aspect ; one side ; one's whole face ; simultaneously... (and...),7.0,"n,d,f",一,-0.16695315349619086
一体,yī tǐ,all concerned ; an integral whole ; everybody,7.0,n,一,3.0760968488999345
一齐,yī qí,at the same time ; simultaneously,6.0,d,一,-0.9097813106037196
